zip_code,year,month,avg
10003,2012,10,2306506.38888889
10003,2012,11,990165.625
10003,2012,12,1669101.40350877
10003,2013,1,2158757.93103448
10003,2013,2,1906797.88888889
10003,2013,3,2067156.41666667
10003,2013,4,1842826.76
10003,2013,5,2982483.9375
10003,2013,6,4618586.57142857
10003,2013,7,2042659.125
10003,2013,8,4718210.52631579
10003,2013,9,2552068.18181818
10003,2013,10,4997045.15384615
10003,2013,11,2905807.73684211
10003,2013,12,4071864.4
10003,2014,1,3427691.63157895
10003,2014,2,899869.5
10003,2014,3,1258277.53571429
10003,2014,4,1681089.15
10003,2014,5,1789911.6
10003,2014,6,2069554.21538462
10003,2014,7,1775042.72222222
10003,2014,8,1184220.8125
10003,2014,9,1900270.48275862
10003,2014,10,1630272.85
10003,2014,11,1581278
10004,2003,2,2240150
10004,2003,4,2502398.5
10004,2003,5,1713987
10004,2003,6,3090389
10004,2003,7,0
10004,2003,8,2545625
10004,2003,9,2325004.66666667
10004,2003,10,937620.25
10004,2003,11,1415367.5
10004,2003,12,1058980.33333333
10004,2004,1,1960131.5
10004,2004,2,1298269
10004,2004,3,1359364
10004,2004,4,1552831
10004,2004,5,2190512.5
10004,2004,6,560037
10004,2004,7,850000
10004,2004,8,1476462
10004,2004,9,1718701
10004,2005,5,0
10004,2005,8,0
10004,2006,3,732800.333333333
10004,2006,4,535959.666666667
10004,2006,5,611834.272727273
10004,2006,6,615485.5
10004,2006,7,395460
10004,2006,8,664407.5
10004,2006,9,590585
10004,2006,12,944426
10004,2007,3,133333.333333333
10004,2007,4,0
10004,2007,5,650000
10004,2007,6,2400000
10004,2007,12,10000000
10004,2008,1,1035000
10004,2008,4,0
10004,2008,5,0
10004,2008,6,2203577.5
10004,2008,9,565000
10004,2008,11,1092582
10004,2008,12,1038485.06666667
10004,2009,1,1185270.85714286
10004,2009,2,1121851.5625
10004,2009,3,1334266.44444444
10004,2009,4,1337703.14285714
10004,2009,5,1111623
10004,2009,6,1168629.75
10004,2009,7,1367974.8
10004,2009,8,1438324
10004,2009,9,1329331.15384615
10004,2009,10,972167.304347826
10004,2009,11,1129802.42857143
10004,2009,12,702054.428571429
10004,2010,1,994673.333333333
10004,2010,2,782374.833333333
10004,2010,3,681856.625
10004,2010,4,1027459.5
10004,2010,5,660068.9
10004,2010,6,767538.333333333
10004,2010,7,954609
10004,2010,10,999900
10004,2010,12,882368.119617225
10004,2011,3,0
10004,2011,4,888800.538461538
10004,2011,5,1127075.7
10004,2011,6,770284.4
10004,2011,7,826590.75
10004,2011,8,628104.857142857
10004,2011,9,805996.75
10004,2011,10,903849.5
10004,2011,12,988699.166666667
10004,2012,1,843266.666666667
10004,2012,2,966833.142857143
10004,2012,3,627695.3
10004,2012,4,523367.454545455
10004,2012,5,22064287.125
10004,2012,6,544303.714285714
10004,2012,7,649790.5
10004,2012,8,683579
10004,2012,9,456666.666666667
10004,2012,10,1271400
10004,2012,11,445000
10004,2012,12,1475000
10004,2013,1,413333.333333333
10004,2013,2,0
10004,2013,3,809425
10004,2013,4,906143.142857143
10004,2013,5,849000
10004,2013,6,683150
10004,2013,7,1040576.88888889
10004,2013,8,806395.166666667
10004,2013,9,830095.454545455
10004,2013,10,673811.875
10004,2013,11,789622.8
10004,2013,12,1010798.72727273
10004,2014,1,840000
10004,2014,2,849450
10004,2014,3,1009980
10004,2014,4,743750
10004,2014,5,1110288.15384615
10004,2014,6,487500
10004,2014,7,960625
10004,2014,8,1028688.88888889
10004,2014,9,1094187.5
10004,2014,10,771666.666666667
10004,2014,11,796168.5
10005,2003,1,316500
10005,2003,4,292500
10005,2003,5,335000
10005,2003,6,240000
10005,2003,7,15762825
10005,2003,10,90000
10005,2003,12,0
10005,2004,1,255000
10005,2004,3,18098333.3333333
10005,2004,4,265000
10005,2004,5,37002000
10005,2004,6,247500
10005,2004,8,426000
10005,2004,9,285000
10005,2004,10,174250
10005,2004,12,275000
10005,2005,2,555000
10005,2005,3,40000000
10005,2005,5,550500
10005,2005,6,760165
10005,2005,7,150191.5
10005,2005,8,457333.857142857
10005,2005,9,380170
10005,2005,10,401666.333333333
10005,2005,11,453076.157894737
10005,2005,12,529299.470588235
10005,2006,1,526841.444444444
10005,2006,2,700738.428571429
10005,2006,3,950761
10005,2006,4,705918.909090909
10005,2006,5,930662.930232558
10005,2006,6,978043.433333333
10005,2006,7,1102301.38095238
10005,2006,8,1110640.63333333
10005,2006,9,876663.101694915
10005,2006,10,676148.961538462
10005,2006,11,991470.145454546
10005,2006,12,968718.725490196
10005,2007,1,878044.394736842
10005,2007,2,829221.393939394
10005,2007,3,620417.682926829
10005,2007,4,1030582.04545455
10005,2007,5,1198794.78846154
10005,2007,6,1081921.47368421
10005,2007,7,1268358.73333333
10005,2007,8,1263632.9
10005,2007,9,732500
10005,2007,10,1358628.33333333
10005,2007,11,1490460.27272727
10005,2007,12,450003.333333333
10005,2008,1,917135.454545455
10005,2008,2,926118.777777778
10005,2008,3,1542713.64705882
10005,2008,4,1416645.31578947
10005,2008,5,1082943.35294118
10005,2008,6,1049605.05882353
10005,2008,7,1028551.23287671
10005,2008,8,1119862.80769231
10005,2008,9,1019360.06451613
10005,2008,10,864171.695652174
10005,2008,11,830500.875
10005,2008,12,1047369.82758621
10005,2009,1,961681
10005,2009,2,891295.5
10005,2009,3,903246.818181818
10005,2009,4,856144.6
10005,2009,5,700693.666666667
10005,2009,6,964768.875
10005,2009,7,678967.066666667
10005,2009,8,1139180.08333333
10005,2009,9,1036077.47368421
10005,2009,10,1037739.4375
10005,2009,11,582161.769230769
10005,2009,12,808732.454545455
10005,2010,1,833015.631578947
10005,2010,2,858836.923076923
10005,2010,3,836796
10005,2010,4,1009430.11111111
10005,2010,5,880840.5
10005,2010,6,1123217.93333333
10005,2010,7,1010916.18181818
10005,2010,8,1099357.15384615
10005,2010,9,732141.75
10005,2010,10,877198.5
10005,2010,11,962299.125
10005,2010,12,848632.285714286
10005,2011,1,945423.333333333
10005,2011,2,805554.666666667
10005,2011,3,772607.857142857
10005,2011,4,7009663.58823529
10005,2011,5,911941.5
10005,2011,6,960730.083333333
10005,2011,7,1075355.58333333
10005,2011,8,6661493.14285714
10005,2011,9,662609.333333333
10005,2011,10,927171.7
10005,2011,11,1089088
10005,2011,12,767839.529411765
10005,2012,1,782922.090909091
10005,2012,2,820073.428571429
10005,2012,3,664120.631578947
10005,2012,4,862393.846153846
10005,2012,5,609000
10005,2012,6,1145242.33333333
10005,2012,7,898174.571428571
10005,2012,8,731352.25
10005,2012,9,887331.888888889
10005,2012,10,1039193.67567568
10005,2012,11,672409
10005,2012,12,937688.45
10005,2013,1,901796.4
10005,2013,2,830074.25
10005,2013,3,323632.04
10005,2013,4,988053.444444444
