zip_code,year,avg
10016,2009,866976.864361702
10016,2010,888892.99787234
10016,2011,2152104.15031315
10016,2012,1664463.50890208
10016,2013,1734551.88905547
10016,2014,1446279.4516696
10017,2003,590107.192170818
10017,2004,974187.955334988
10017,2005,1245780.90372671
10017,2006,2214644.83842795
10017,2007,1893988.04280156
10017,2008,1032263.44262295
10017,2009,947435.593301435
10017,2010,966309.169312169
10017,2011,974095.755434783
10017,2012,860187.260504202
10017,2013,1648188.90298507
10017,2014,1563337.65384615
10018,2003,299148.8125
10018,2004,5168852.88888889
10018,2005,1242025
10018,2006,649493.179347826
10018,2007,3545366.875
10018,2008,772387.18
10018,2009,5773222.33333333
10018,2010,1584797
10018,2011,1286671.79012346
10018,2012,1839497.7875
10018,2013,2036852.58928571
10018,2014,2128202.36363636
10019,2003,749460.48700565
10019,2004,1531103.03341902
10019,2005,1943925.50847458
10019,2006,1449196.17861206
10019,2007,2342333.63855422
10019,2008,2328341.4375
10019,2009,903562.758227848
10019,2010,1622764.66603416
10019,2011,1163411.72
10019,2012,1441790.00797872
10019,2013,2465158.98652291
10019,2014,3966226.46830266
10021,2003,1094725.80212014
10021,2004,2899702.94731978
10021,2005,1610213.89555556
10021,2006,2679309.85736926
10021,2007,2783609.16142857
10021,2008,2390138.81164384
10021,2009,1968563.82374101
10021,2010,2903329.65447154
10021,2011,2624094.61290323
10021,2012,1862118.35897436
10021,2013,2495127.60277778
10021,2014,3890414.35319149
10022,2003,1115901.66937669
10022,2004,1120648.11247444
10022,2005,2210068.58425197
10022,2006,2005054.69726562
10022,2007,1971364.95833333
10022,2008,1863413.71714922
10022,2009,1574949.18828452
10022,2010,2634364.94333333
10022,2011,1409491.98442368
10022,2012,2035184.696
10022,2013,1878016.2839196
10022,2014,2728151.59302326
10023,2003,981673.169836957
10023,2004,1146460.58421053
10023,2005,1477779.35172414
10023,2006,1395977.88235294
10023,2007,2332038.93297872
10023,2008,3360097.3519695
10023,2009,1740867.69756839
10023,2010,1878519.52980132
10023,2011,2368122.62524272
10023,2012,2014045.34119497
10023,2013,2070983.45121951
10023,2014,2212857.59819413
10024,2003,748275.463700234
10024,2004,994357.530567686
10024,2005,1110818.02398082
10024,2006,1364283.24
10024,2007,2106612.53054662
10024,2008,1289475.72923077
10024,2009,1043142.9832636
10024,2010,1876513.29916898
10024,2011,2252418.38834951
10024,2012,2557363.98705502
10024,2013,2789068.20086393
10024,2014,2140946.73376623
10025,2003,784819.046997389
10025,2004,949264.068075117
10025,2005,1432488.2326454
10025,2006,1618599.95588235
10025,2007,1185453.90498442
10025,2008,1651633.75605536
10025,2009,1029188.31410256
10025,2010,1081915.86772487
10025,2011,1120697.25490196
10025,2012,2891321.53362256
10025,2013,1567766.87775551
10025,2014,1550208.66285714
10026,2003,535323.941176471
10026,2004,376754.850162866
10026,2005,722559.450617284
10026,2006,770647.122065728
10026,2007,879810.701492537
10026,2008,649910.8515625
10026,2009,563213.893258427
10026,2010,672236.055374593
10026,2011,644625.893877551
10026,2012,888783.196428571
10026,2013,1370647.24054983
10026,2014,1379575.20746888
10027,2003,322595.470833333
10027,2004,651041.614678899
10027,2005,915818.18487395
10027,2006,1071511.62303665
10027,2007,1105583.37800687
10027,2008,883177.570680628
10027,2009,560560.836734694
10027,2010,688549.6875
10027,2011,905929.048913043
10027,2012,1058948.55327869
10027,2013,1136167.3099631
10027,2014,1301294.63313609
10028,2003,829138.524193548
10028,2004,1186354.75520833
10028,2005,2002903.81690141
10028,2006,1624919.5
10028,2007,2158525.92307692
10028,2008,2642399.69014085
10028,2009,1570261.88791209
10028,2010,2152182.24233129
10028,2011,2166293.00952381
10028,2012,2466406.29583333
10028,2013,2003860.17928287
10028,2014,5110743.10714286
10029,2003,473231.279220779
10029,2004,880315.783783784
10029,2005,1303230.30985915
10029,2006,1209165.01030928
10029,2007,1776085.74850299
10029,2008,590535.307692308
10029,2009,1468158.91358025
10029,2010,735770.684210526
10029,2011,609734.26446281
10029,2012,974747.377192982
10029,2013,2393145.8244898
10029,2014,4903630.86792453
10030,2003,493018.527777778
10030,2004,536044.573426573
10030,2005,680394.624561404
10030,2006,708166.239130435
10030,2007,1049960.5982906
10030,2008,852674.705263158
10030,2009,581854.403846154
10030,2010,750472.074074074
10030,2011,502862.581818182
10030,2012,1257393.72826087
10030,2013,1335716.15652174
10030,2014,1195246.70149254
10031,2003,725883.657303371
10031,2004,975510.762162162
10031,2005,1298858.14673913
10031,2006,1182922.22619048
10031,2007,1220376.38679245
10031,2008,619481.845070423
10031,2009,586020.867647059
